Byrne,Bradley,R,202-225-4931,AL,Rep,false
Roby,Martha,R,202-225-2901,AL,Rep,false
Rogers,Mike,R,202-225-3261,AL,Rep,false
Aderholt,Robert,R,202-225-4876,AL,Rep,false
Brooks,Mo,R,202-225-4801,AL,Rep,false
Palmer,Gary,R,202-225-4921,AL,Rep,false
Sewell,TerriA.,D,202-225-2665,AL,Rep,false
Young,Don,R,202-225-5765,AK,Rep,false
Radewagen,Amata,R,202-225-8577,,Rep,false
Kirkpatrick,Ann,D,202-225-3361,AZ,Rep,false
McSally,Martha,R,202-225-2542,AZ,Rep,false
Grijalva,Raul,D,202-225-2435,AZ,Rep,true
Gosar,PaulA.,R,202-225-2315,AZ,Rep,false
Salmon,Matt,R,202-225-2635,AZ,Rep,false
Schweikert,David,R,202-225-2190,AZ,Rep,false
Gallego,Ruben,D,202-225-4065,AZ,Rep,true
Franks,Trent,R,202-225-4576,AZ,Rep,false
Sinema,Kyrsten,D,202-225-9888,AZ,Rep,false
Crawford,Rick,R,202-225-4076,AR,Rep,false
Hill,French,R,202-225-2506,AR,Rep,false
Womack,Steve,R,202-225-4301,AR,Rep,false
Westerman,Bruce,R,202-225-3772,AR,Rep,false
LaMalfa,Doug,R,202-225-3076,CA,Rep,false
Huffman,Jared,D,202-225-5161,CA,Rep,true
Garamendi,John,D,202-225-1880,CA,Rep,true
McClintock,Tom,R,202-225-2511,CA,Rep,false
Thompson,Mike,D,202-225-3311,CA,Rep,true
Matsui,DorisO.,D,202-225-7163,CA,Rep,true
Bera,Ami,D,202-225-5716,CA,Rep,true
Cook,Paul,R,202-225-5861,CA,Rep,false
McNerney,Jerry,D,202-225-1947,CA,Rep,false
Denham,Jeff,R,202-225-4540,CA,Rep,false
DeSaulnier,Mark,D,202-225-2095,CA,Rep,false
Pelosi,Nancy,D,202-225-4965,CA,Rep,true
Lee,Barbara,D,202-225-2661,CA,Rep,true
Speier,Jackie,D,202-225-3531,CA,Rep,true
Swalwell,Eric,D,202-225-5065,CA,Rep,true
Costa,Jim,D,202-225-3341,CA,Rep,false
Honda,Mike,D,202-225-2631,CA,Rep,false
Eshoo,AnnaG.,D,202-225-8104,CA,Rep,true
Lofgren,Zoe,D,202-225-3072,CA,Rep,true
Farr,Sam,D,202-225-2861,CA,Rep,true
Valadao,David,R,202-225-4695,CA,Rep,false
Nunes,Devin,R,202-225-2523,CA,Rep,false
McCarthy,Kevin,R,202-225-2915,CA,Rep,false
Capps,Lois,D,202-225-3601,CA,Rep,false
Knight,Steve,R,202-225-1956,CA,Rep,false
Brownley,Julia,D,202-225-5811,CA,Rep,true
Chu,Judy,D,202-225-5464,CA,Rep,true
Schiff,Adam,D,202-225-4176,CA,Rep,true
Cárdenas,Tony,D,202-225-6131,CA,Rep,false
Sherman,Brad,D,202-225-5911,CA,Rep,true
Aguilar,Pete,D,202-225-3201,CA,Rep,true
Napolitano,Grace,D,202-225-5256,CA,Rep,true
Lieu,Ted,D,202-225-3976,CA,Rep,false
Becerra,Xavier,D,202-225-6235,CA,Rep,true
Torres,Norma,D,202-225-6161,CA,Rep,false
Ruiz,Raul,D,202-225-5330,CA,Rep,false
Bass,Karen,D,202-225-7084,CA,Rep,true
Sánchez,Linda,D,202-225-6676,CA,Rep,false
Royce,Ed,R,202-225-4111,CA,Rep,false
Roybal-Allard,Lucille,D,202-225-1766,CA,Rep,false
Takano,Mark,D,202-225-2305,CA,Rep,true
Calvert,Ken,R,202-225-1986,CA,Rep,false
Waters,Maxine,D,202-225-2201,CA,Rep,false
Hahn,Janice,D,202-225-8220,CA,Rep,false
Walters,Mimi,R,202-225-5611,CA,Rep,false
Sanchez,Loretta,D,202-225-2965,CA,Rep,false
Lowenthal,Alan,D,202-225-7924,CA,Rep,false
Rohrabacher,Dana,R,202-225-2415,CA,Rep,false
Issa,Darrell,R,202-225-3906,CA,Rep,false
Hunter,DuncanD.,R,202-225-5672,CA,Rep,false
Vargas,Juan,D,202-225-8045,CA,Rep,true
Peters,Scott,D,202-225-0508,CA,Rep,true
Davis,Susan,D,202-225-2040,CA,Rep,true
DeGette,Diana,D,202-225-4431,CO,Rep,true
Polis,Jared,D,202-225-2161,CO,Rep,true
